"Cod","Município","Município GRE","IDEPE 5º ANO EF","IDEPE 9º ANO EF","IDEPE 3º ANO EM"
2600203,AFRANIO,GRE SERTAO MEDIO SAO FRANCISCO - PETROLINA,"4,90","4,23",-
2600302,AGRESTINA,GRE AGRESTE CENTRO NORTE - CARUARU,"5,22","4,71",-
2600401,AGUA PRETA,GRE MATA SUL -PALMARES,"6,07","4,33",-
2600500,AGUAS BELAS,GRE AGRESTE MERIDIONAL - GARANHUNS,"4,76","4,02",-
2600609,ALAGOINHA,GRE SERTAO DO MOXOTO IPANEMA - ARCOVERDE,"3,99","3,37",-
2600906,AMARAJI,GRE MATA SUL -PALMARES,"5,25","4,07",-
2601003,ANGELIM,GRE AGRESTE MERIDIONAL - GARANHUNS,"4,78","4,32",-
2601052,ARACOIABA,GRE METROPOLITANA NORTE,"4,50","3,90",-
2601300,BARRA DE GUABIRABA,GRE MATA CENTRO - VITORIA DE SANTO ANTAO,"7,87","7,26",-
2601409,BARREIROS,GRE MATA SUL -PALMARES,"4,77","4,07",-
2601508,BELEM DE MARIA,GRE MATA SUL -PALMARES,"6,43","5,21",-
2601805,BETANIA,GRE SERTAO DO MOXOTO IPANEMA - ARCOVERDE,"5,55","4,86",-
2602209,BOM JARDIM,GRE VALE DO CAPIBARIBE - LIMOEIRO,"5,61","4,55",-
2602308,BONITO,GRE MATA CENTRO - VITORIA DE SANTO ANTAO,"6,26","6,37","4,33"
2602407,BREJAO,GRE AGRESTE MERIDIONAL - GARANHUNS,"5,08","4,05",-
2602506,BREJINHO,GRE SERTAO DO ALTO PAJEU - AFOGADOS DA INGAZEIRA,"6,75","4,97",-
2602605,BREJO DA MADRE DE DEUS,GRE AGRESTE CENTRO NORTE - CARUARU,"3,70","3,52",-
2603207,CAETES,GRE AGRESTE MERIDIONAL - GARANHUNS,"4,82","4,28",-
2603306,CALCADO,GRE AGRESTE MERIDIONAL - GARANHUNS,"4,47","4,16",-
2603405,CALUMBI,GRE SERTAO DO ALTO PAJEU - AFOGADOS DA INGAZEIRA,"5,09","4,49",-
2603504,CAMOCIM DE SAO FELIX,GRE MATA CENTRO - VITORIA DE SANTO ANTAO,"5,19","4,16",-
2603603,CAMUTANGA,GRE MATA NORTE - NAZARE DA MATA,"4,70","3,50",-
2603702,CANHOTINHO,GRE AGRESTE MERIDIONAL - GARANHUNS,"4,71","4,20",-
2603801,CAPOEIRAS,GRE AGRESTE MERIDIONAL - GARANHUNS,"4,97","4,61",-
2603900,CARNAIBA,GRE SERTAO DO ALTO PAJEU - AFOGADOS DA INGAZEIRA,"7,30","5,70",-
2603926,CARNAUBEIRA DA PENHA,GRE SERTAO DO SUBMEDIO SAO FRANCISCO - FLORESTA,"6,34","4,86",-
2604155,CASINHAS,GRE VALE DO CAPIBARIBE - LIMOEIRO,"6,68","5,78",-
2604403,CHA DE ALEGRIA,GRE MATA CENTRO - VITORIA DE SANTO ANTAO,"4,39","3,80",-
2604502,CHA GRANDE,GRE MATA CENTRO - VITORIA DE SANTO ANTAO,"4,80","3,06",-
2604601,CONDADO,GRE MATA NORTE - NAZARE DA MATA,"3,97","4,16",-
2604700,CORRENTES,GRE AGRESTE MERIDIONAL - GARANHUNS,"4,97","3,97",-
2604809,CORTES,GRE MATA SUL -PALMARES,"4,47","3,97",-
2604908,CUMARU,GRE VALE DO CAPIBARIBE - LIMOEIRO,"5,02","3,80",-
2605152,DORMENTES,GRE SERTAO MEDIO SAO FRANCISCO - PETROLINA,"6,61","4,94",-
2605202,ESCADA,GRE MATA CENTRO - VITORIA DE SANTO ANTAO,"4,32","3,67",-
2605400,FEIRA NOVA,GRE VALE DO CAPIBARIBE - LIMOEIRO,"5,55","4,90",-
2605509,FERREIROS,GRE MATA NORTE - NAZARE DA MATA,"4,69","3,87",-
2605806,FREI MIGUELINHO,GRE VALE DO CAPIBARIBE - LIMOEIRO,"4,45","3,96",-
2605905,GAMELEIRA,GRE MATA SUL -PALMARES,"4,88","4,04",-
2606507,IATI,GRE AGRESTE MERIDIONAL - GARANHUNS,"4,34","3,93",-
2606705,IBIRAJUBA,GRE AGRESTE CENTRO NORTE - CARUARU,"4,68","4,19",-
2606903,IGUARACY,GRE SERTAO DO ALTO PAJEU - AFOGADOS DA INGAZEIRA,"7,23","6,35",-
2607109,INGAZEIRA,GRE SERTAO DO ALTO PAJEU - AFOGADOS DA INGAZEIRA,"5,32","4,30",-
2607208,IPOJUCA,GRE METROPOLITANA SUL,"5,08","3,78",-
2607406,ITACURUBA,GRE SERTAO DO SUBMEDIO SAO FRANCISCO - FLORESTA,"4,51","5,79",-
2607703,ITAPETIM,GRE SERTAO DO ALTO PAJEU - AFOGADOS DA INGAZEIRA,"6,50","4,95",-
2607802,ITAQUITINGA,GRE MATA NORTE - NAZARE DA MATA,"3,61","3,21",-
2607950,JAQUEIRA,GRE MATA SUL -PALMARES,"4,30","3,74",-
2608008,JATAUBA,GRE AGRESTE CENTRO NORTE - CARUARU,"4,15","3,49",-
2608107,JOAO ALFREDO,GRE VALE DO CAPIBARIBE - LIMOEIRO,"5,18","4,55",-
2608206,JOAQUIM NABUCO,GRE MATA SUL -PALMARES,"4,54","3,98",-
2608255,JUCATI,GRE AGRESTE MERIDIONAL - GARANHUNS,"5,27","4,34",-
2608305,JUPI,GRE AGRESTE MERIDIONAL - GARANHUNS,"4,92","4,67",-
2608404,JUREMA,GRE AGRESTE MERIDIONAL - GARANHUNS,"4,92","4,39",-
2608453,LAGOA DO CARRO,GRE MATA NORTE - NAZARE DA MATA,"5,32","4,00",-
2608503,LAGOA DE ITAENGA,GRE VALE DO CAPIBARIBE - LIMOEIRO,"4,28","4,28",-
2608602,LAGOA DO OURO,GRE AGRESTE MERIDIONAL - GARANHUNS,"5,37","4,59",-
2608701,LAGOA DOS GATOS,GRE MATA SUL -PALMARES,"5,14","5,00",-
2608800,LAJEDO,GRE AGRESTE MERIDIONAL - GARANHUNS,"4,94","3,96",-
2609105,MACHADOS,GRE VALE DO CAPIBARIBE - LIMOEIRO,"7,53","6,58",-
2609154,MANARI,GRE SERTAO DO MOXOTO IPANEMA - ARCOVERDE,"4,67","3,76",-
2609204,MARAIAL,GRE MATA SUL -PALMARES,"5,15","3,34",-
2609402,MORENO,GRE METROPOLITANA SUL,"4,02","3,52",-
2609709,OROBO,GRE VALE DO CAPIBARIBE - LIMOEIRO,"6,92","4,99",-
2609808,OROCO,GRE SERTAO MEDIO SAO FRANCISCO - PETROLINA,"4,62","3,26",-
2610004,PALMARES,GRE MATA SUL -PALMARES,"4,91","4,21",-
2610103,PALMEIRINA,GRE AGRESTE MERIDIONAL - GARANHUNS,"4,97","4,32",-
2610202,PANELAS,GRE AGRESTE CENTRO NORTE - CARUARU,"6,94","6,34",-
2610301,PARANATAMA,GRE AGRESTE MERIDIONAL - GARANHUNS,"5,24","4,30",-
2610400,PARNAMIRIM,GRE SERTAO CENTRAL - SALGUEIRO,"4,92","3,57",-
2611200,POCAO,GRE SERTAO DO MOXOTO IPANEMA - ARCOVERDE,"4,45","4,56",-
2611309,POMBOS,GRE MATA CENTRO - VITORIA DE SANTO ANTAO,"4,29","3,30",-
2611408,PRIMAVERA,GRE MATA SUL -PALMARES,"4,95","3,76",-
2611507,QUIPAPA,GRE MATA SUL -PALMARES,"5,06","4,09",-
2611705,RIACHO DAS ALMAS,GRE AGRESTE CENTRO NORTE - CARUARU,"4,91","4,17",-
2611903,RIO FORMOSO,GRE MATA SUL -PALMARES,"7,22","5,54",-
2612000,SAIRE,GRE MATA CENTRO - VITORIA DE SANTO ANTAO,"6,03","4,42",-
2612109,SALGADINHO,GRE VALE DO CAPIBARIBE - LIMOEIRO,"5,89","5,13",-
2612307,SALOA,GRE AGRESTE MERIDIONAL - GARANHUNS,"6,49","4,13",-
2612455,SANTA CRUZ,GRE SERTAO DO ARARIPE - ARARIPINA,"4,95","3,05",-
2612554,SANTA FILOMENA,GRE SERTAO DO ARARIPE - ARARIPINA,"4,68","3,36",-
2612703,SANTA MARIA DO CAMBUCA,GRE VALE DO CAPIBARIBE - LIMOEIRO,"5,04","3,54",-
2612802,SANTA TEREZINHA,GRE SERTAO DO ALTO PAJEU - AFOGADOS DA INGAZEIRA,"4,99","4,48",-
2612901,SAO BENEDITO DO SUL,GRE MATA SUL -PALMARES,"4,48","4,20",-
2613008,SAO BENTO DO UNA,GRE AGRESTE MERIDIONAL - GARANHUNS,"5,09","4,56",-
2613206,SAO JOAO,GRE AGRESTE MERIDIONAL - GARANHUNS,"4,75","4,13",-
2613305,SAO JOAQUIM DO MONTE,GRE MATA CENTRO - VITORIA DE SANTO ANTAO,"5,79","4,23",-
2613404,SAO JOSE DA COROA GRANDE,GRE MATA SUL -PALMARES,"4,24","4,30",-
2613800,SAO VICENTE FERRER,GRE MATA NORTE - NAZARE DA MATA,"4,04","4,20",-
2614006,SERRITA,GRE SERTAO CENTRAL - SALGUEIRO,"5,08","4,64",-
2614204,SIRINHAEM,GRE MATA SUL -PALMARES,"5,25","4,22",-
2614402,SOLIDAO,GRE SERTAO DO ALTO PAJEU - AFOGADOS DA INGAZEIRA,"6,51","5,95",-
2614857,TAMANDARE,GRE MATA SUL -PALMARES,"4,82","4,31",-
2615201,TERRA NOVA,GRE SERTAO CENTRAL - SALGUEIRO,"5,82","4,95",-
2615409,TORITAMA,GRE AGRESTE CENTRO NORTE - CARUARU,"4,07","3,51",-
2615706,TRIUNFO,GRE SERTAO DO ALTO PAJEU - AFOGADOS DA INGAZEIRA,"6,20","5,35",-
2615805,TUPANATINGA,GRE SERTAO DO MOXOTO IPANEMA - ARCOVERDE,"4,40","4,19",-
2616100,VERDEJANTE,GRE SERTAO CENTRAL - SALGUEIRO,"4,59","4,65",-
2616183,VERTENTE DO LERIO,GRE VALE DO CAPIBARIBE - LIMOEIRO,"5,92","4,56",-
2616209,VERTENTES,GRE VALE DO CAPIBARIBE - LIMOEIRO,"4,64","3,67",-
2616308,VICENCIA,GRE MATA NORTE - NAZARE DA MATA,"4,66","4,29",-
2616407,VITORIA DE SANTO ANTAO,GRE MATA CENTRO - VITORIA DE SANTO ANTAO,"4,52","3,46",-
2616506,XEXEU,GRE MATA SUL -PALMARES,"5,47","3,79",-
